Ticker,Type,Strike,Expiry_Years,Underlying_Price,Bid,Ask,Risk_Free_Rate,Dividend_Yield,Implied_Volatility
,Call,550.0,0.09582477754962354,769.72998046875,220.3,223.12,0.03700000047683716,0.0101,0.5321333939037654
,Call,590.0,0.09582477754962354,769.72998046875,180.53,183.33,0.03700000047683716,0.0101,0.4415442335973113
,Call,600.0,0.09582477754962354,769.72998046875,170.56,173.39,0.03700000047683716,0.0101,0.41844436678695907
,Call,640.0,0.09582477754962354,769.72998046875,130.98,133.8,0.03700000047683716,0.0101,0.3416336132888429
,Call,645.0,0.09582477754962354,769.72998046875,126.02,128.85,0.03700000047683716,0.0101,0.3312409296482003
,Call,660.0,0.09582477754962354,769.72998046875,111.22,114.03,0.03700000047683716,0.0101,0.30226984843563265
,Call,670.0,0.09582477754962354,769.72998046875,101.37,104.17,0.03700000047683716,0.0101,0.2830363873780457
,Call,675.0,0.09582477754962354,769.72998046875,96.45,99.27,0.03700000047683716,0.0101,0.27385092223392316
,Call,680.0,0.09582477754962354,769.72998046875,91.55,94.38,0.03700000047683716,0.0101,0.2649786126933138
,Call,685.0,0.09582477754962354,769.72998046875,86.67,89.5,0.03700000047683716,0.0101,0.2563275859233958
,Call,690.0,0.09582477754962354,769.72998046875,81.78,84.62,0.03700000047683716,0.0101,0.24716349652827424
,Call,695.0,0.09582477754962354,769.72998046875,76.92,79.73,0.03700000047683716,0.0101,0.2379863591191147
,Call,700.0,0.09582477754962354,769.72998046875,72.07,74.89,0.03700000047683716,0.0101,0.2293168552169294
,Call,710.0,0.09582477754962354,769.72998046875,62.49,65.32,0.03700000047683716,0.0101,0.2134699145597736
,Call,715.0,0.09582477754962354,769.72998046875,57.72,60.53,0.03700000047683716,0.0101,0.20478302207959803
,Call,720.0,0.09582477754962354,769.72998046875,53.01,55.8,0.03700000047683716,0.0101,0.1967403107153437
,Call,721.0,0.09582477754962354,769.72998046875,52.07,54.88,0.03700000047683716,0.0101,0.1953246315389981
,Call,723.0,0.09582477754962354,769.72998046875,50.19,52.93,0.03700000047683716,0.0101,0.1912797116983716
,Call,725.0,0.09582477754962354,769.72998046875,48.44,51.11,0.03700000047683716,0.0101,0.18965012699999328
,Call,727.0,0.09582477754962354,769.72998046875,46.59,49.2,0.03700000047683716,0.0101,0.18600807837033534
,Call,728.0,0.09582477754962354,769.72998046875,45.67,48.28,0.03700000047683716,0.0101,0.18450523022475585
,Call,730.0,0.09582477754962354,769.72998046875,43.9,46.48,0.03700000047683716,0.0101,0.18234107120383963
,Call,733.0,0.09582477754962354,769.72998046875,40.99,42.54,0.03700000047683716,0.0101,0.16577856656691137
